"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2558048","Jaedong  Lee and Sora  Hong and Jee-Hyong  Lee","","","","An Efficient Prediction for Heavy Rain from Big Weather Data Using Genetic Algorithm","25:1--25:7","25","7","accuracy, big data mining, computational cost, feature selection, genetic algorithm, heavy rain prediction, support vector machine","10.1145/2557977.2558048","","","","","","","2014","","Proceedings of the 8th International Conference on Ubiquitous Information Management and Communication","ICUIMC '14","","978-1-4503-2644-5","Siem Reap, Cambodia","ACM","New York, NY, USA"
"article","3018741","Rohit  Babbar and Bernhard  Sch&#246;lkopf","","","","DiSMEC: Distributed Sparse Machines for Extreme Multi-label Classification","721--729","","9","extreme classification, large-scale classification, multi-label learning","10.1145/3018661.3018741","","","","","","","2017","","Proceedings of the Tenth ACM International Conference on Web Search and Data Mining","WSDM '17","","978-1-4503-4675-7","Cambridge, United Kingdom","ACM","New York, NY, USA"
"article","3097987","Yukihiro  Tagami","","","","AnnexML: Approximate Nearest Neighbor Search for Extreme Multi-label Classification","455--464","","10","approximate nearest neighbor search, extreme multi-label classification, k-nearest neighbor graph, learning-to-rank","10.1145/3097983.3097987","","","","","","","2017","","Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","KDD '17","","978-1-4503-4887-4","Halifax, NS, Canada","ACM","New York, NY, USA"
"article","2623651","Yashoteja  Prabhu and Manik  Varma","","","","FastXML: A Fast, Accurate and Stable Tree-classifier for Extreme Multi-label Learning","263--272","","10","extreme classification, multi-label learning, ranking","10.1145/2623330.2623651","","","","","","","2014","","Proceedings of the 20th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","KDD '14","","978-1-4503-2956-9","New York, New York, USA","ACM","New York, NY, USA"
"article","2939756","Himanshu  Jain and Yashoteja  Prabhu and Manik  Varma","","","","Extreme Multi-label Loss Functions for Recommendation, Tagging, Ranking &#38; Other Missing Label Applications","935--944","","10","extreme classification, multi-label learning, ranking, recommendation, tagging","10.1145/2939672.2939756","","","","","","","2016","","Proceedings of the 22Nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","KDD '16","","978-1-4503-4232-2","San Francisco, California, USA","ACM","New York, NY, USA"
"article","3098144","Alban  Siffer and Pierre-Alain  Fouque and Alexandre  Termier and Christine  Largouet","","","","Anomaly Detection in Streams with Extreme Value Theory","1067--1075","","9","extreme value theory, outliers in time series, streaming","10.1145/3097983.3098144","","","","","","","2017","","Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","KDD '17","","978-1-4503-4887-4","Halifax, NS, Canada","ACM","New York, NY, USA"
"article","3098083","Ian E.H. Yen and Xiangru  Huang and Wei  Dai and Pradeep  Ravikumar and Inderjit  Dhillon and Eric  Xing","","","","PPDsparse: A Parallel Primal-Dual Sparse Method for Extreme Classification","545--553","","9","extreme classification, primal dual method, sparse optimization","10.1145/3097983.3098083","","","","","","","2017","","Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","KDD '17","","978-1-4503-4887-4","Halifax, NS, Canada","ACM","New York, NY, USA"
"article","2023581","David John Gagne,II and Amy  McGovern and Ming  Xue","","","","Machine Learning Enhancement of Storm Scale Ensemble Precipitation Forecasts","45--46","","2","enhancement, forecasts, machine learning, precipitation, storm scale ensemble","10.1145/2023568.2023581","","","","","","","2011","","Proceedings of the 2011 Workshop on Knowledge Discovery, Modeling and Simulation","KDMS '11","","978-1-4503-0836-6","San Diego, California, USA","ACM","New York, NY, USA"
"article","2350184","Debasish  Das and Auroop  Ganguly and Arindam  Banerjee and Zoran  Obradovic","","","","Towards Understanding Dominant Processes in Complex Dynamical Systems: Case of Precipitation Extremes","16--24","","9","dominant processes, graphical models, precipitation extremes, predictive models","10.1145/2350182.2350184","","","","","","","2012","","Proceedings of the Sixth International Workshop on Knowledge Discovery from Sensor Data","SensorKDD '12","","978-1-4503-1554-8","Beijing, China","ACM","New York, NY, USA"
"article","2447492","Kulsawasd  Jitkajornwanich and Ramez  Elmasri and John  McEnery and Chengkai  Li","","","","Extracting Storm-centric Characteristics from Raw Rainfall Data for Storm Analysis and Mining","91--99","","9","CUAHSI, ODM, precipitation, rainfall, storm analysis","10.1145/2447481.2447492","","","","","","","2012","","Proceedings of the 1st ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data","BigSpatial '12","","978-1-4503-1692-7","Redondo Beach, California","ACM","New York, NY, USA"
"article","1862923","Radu  Berinde and Piotr  Indyk and Graham  Cormode and Martin J. Strauss","","","","Space-optimal Heavy Hitters with Strong Error Bounds","26:1--26:28","26","28","Frequency estimation, heavy hitters, streaming algorithms","10.1145/1862919.1862923","ACM Trans. Database Syst.","November 2010","35","4","","October","2010","0362-5915","","","","","","ACM","New York, NY, USA"
"article","1559819","Radu  Berinde and Graham  Cormode and Piotr  Indyk and Martin J. Strauss","","","","Space-optimal Heavy Hitters with Strong Error Bounds","157--166","","10","frequency estimation, heavy hitters, streaming algorithms","10.1145/1559795.1559819","","","","","","","2009","","Proceedings of the Twenty-eighth ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems","PODS '09","","978-1-60558-553-6","Providence, Rhode Island, USA","ACM","New York, NY, USA"
"article","2908894","Sam  Cramer and Michael  Kampouridis and Alex  Freitas","","","","A Genetic Decomposition Algorithm for Predicting Rainfall Within Financial Weather Derivatives","885--892","","8","decomposition, genetic programming, rainfall derivatives, rainfall prediction","10.1145/2908812.2908894","","","","","","","2016","","Proceedings of the Genetic and Evolutionary Computation Conference 2016","GECCO '16","","978-1-4503-4206-3","Denver, Colorado, USA","ACM","New York, NY, USA"
"article","2627437","Manu  Nandan and Pramod P. Khargonekar and Sachin S. Talathi","","","","Fast SVM Training Using Approximate Extreme Points","59--98","","40","convex hulls, extreme points, large scale classification, non-linear kernels, support vector machines","","J. Mach. Learn. Res.","January 2014","15","1","","January","2014","1532-4435","","","","","","JMLR.org",""
"article","3053473","Stijn  Luca and David A. Clifton and Bart  Vanrumste","","","","One-class Classification of Point Patterns of Extremes","6581--6601","","21","asymptotic theory, class imbalance, extreme value theory, novelty detection, sequence classification","","J. Mach. Learn. Res.","January 2016","17","1","","January","2016","1532-4435","","","","","","JMLR.org",""
"article","3056641","Songpon  Sastrawaha and Punyaphol  Horata","","","","Ensemble Extreme Learning Machine for Multi-instance Learning","56--60","","5","Ensembles, Extreme Learning Machine, Majority voting, Multi-instance learning","10.1145/3055635.3056641","","","","","","","2017","","Proceedings of the 9th International Conference on Machine Learning and Computing","ICMLC 2017","","978-1-4503-4817-1","Singapore, Singapore","ACM","New York, NY, USA"
"article","2978409","Zhan  Qin and Yin  Yang and Ting  Yu and Issa  Khalil and Xiaokui  Xiao and Kui  Ren","","","","Heavy Hitter Estimation over Set-Valued Data with Local Differential Privacy","192--203","","12","heavy hitter, local differential privacy","10.1145/2976749.2978409","","","","","","","2016","","Proceedings of the 2016 ACM SIGSAC Conference on Computer and Communications Security","CCS '16","","978-1-4503-4139-4","Vienna, Austria","ACM","New York, NY, USA"
"article","3055374","Ruizhou  Ding and Dimitrios  Stamoulis and Kartikeya  Bhardwaj and Diana  Marculescu and Radu  Marculescu","","","","Enhancing Precipitation Models by Capturing Multivariate and Multiscale Climate Dynamics","39--42","","4","carbon emissions, climate anomalies, complex network properties, complex networks, precipitation","10.1145/3055366.3055374","","","","","","","2017","","Proceedings of the 3rd International Workshop on Cyber-Physical Systems for Smart Water Networks","CySWATER '17","","978-1-4503-4975-8","Pittsburgh, Pennsylvania","ACM","New York, NY, USA"
"article","2946663","Daniel  Hsu and Sivan  Sabato","","","","Loss Minimization and Parameter Estimation with Heavy Tails","543--582","","40","heavy-tailed distributions, least squares, linear regression, unbounded losses","","J. Mach. Learn. Res.","January 2016","17","1","","January","2016","1532-4435","","","","","","JMLR.org",""
"article","2791468","K.  Namitha and A.  Jayapriya and G. Santhosh Kumar","","","","Rainfall Prediction Using Artificial Neural Network on Map-Reduce Framework","492--495","","4","Artificial Neural Network, map-reduce, rainfall forecasting","10.1145/2791405.2791468","","","","","","","2015","","Proceedings of the Third International Symposium on Women in Computing and Informatics","WCI '15","","978-1-4503-3361-0","Kochi, India","ACM","New York, NY, USA"
"article","1141985","Kshitiz  Garg and Shree K. Nayar","","","","Photorealistic Rendering of Rain Streaks","996--1002","","7","oscillations, particle system, rain rendering, rain streak appearance, rain streak database, raindrops","10.1145/1141911.1141985","ACM Trans. Graph.","July 2006","25","3","","July","2006","0730-0301","","","","","","ACM","New York, NY, USA"
"article","1141985","Kshitiz  Garg and Shree K. Nayar","","","","Photorealistic Rendering of Rain Streaks","996--1002","","7","oscillations, particle system, rain rendering, rain streak appearance, rain streak database, raindrops","10.1145/1179352.1141985","","","","","","","2006","","ACM SIGGRAPH 2006 Papers","SIGGRAPH '06","","1-59593-364-6","Boston, Massachusetts","ACM","New York, NY, USA"
"article","2777082","Katsiaryna  Mirylenka and Graham  Cormode and Themis  Palpanas and Divesh  Srivastava","","","","Conditional Heavy Hitters: Detecting Interesting Correlations in Data Streams","395--414","","20","Heavy hitters, Online algorithms, Streaming data","10.1007/s00778-015-0382-5","The VLDB Journal","June      2015","24","3","","June","2015","1066-8888","","","","","","Springer-Verlag New York, Inc.","Secaucus, NJ, USA"
"article","2893184","Martin  Marinov and Nicholas  Nash and David  Gregg","","","","Practical Algorithms for Finding Extremal Sets","1.9:1--1.9:21","1.9","21","Algorithms, dataset, extremal sets, itemset, memoization, parallel, practical","10.1145/2893184","J. Exp. Algorithmics","2016","21","","","April","2016","1084-6654","","","","","","ACM","New York, NY, USA"
"article","3076088","Adis  Alihodzic and Eva  Tuba and Milan  Tuba","","","","An Upgraded Bat Algorithm for Tuning Extreme Learning Machines for Data Classification","125--126","","2","bat algorithm, extreme learning machine, swarm intelligence","10.1145/3067695.3076088","","","","","","","2017","","Proceedings of the Genetic and Evolutionary Computation Conference Companion","GECCO '17","","978-1-4503-4939-0","Berlin, Germany","ACM","New York, NY, USA"
"article","2820843","Ran  Wang and Chi-Yin  Chow and Yan  Lyu and Victor C. S. Lee and Sam  Kwong and Yanhua  Li and Jia  Zeng","","","","TaxiRec: Recommending Road Clusters to Taxi Drivers Using Ranking-based Extreme Learning Machines","53:1--53:4","53","4","extreme learning machine, passenger-finding potential, recommender system, taxi trajectory data","10.1145/2820783.2820843","","","","","","","2015","","Proceedings of the 23rd SIGSPATIAL International Conference on Advances in Geographic Information Systems","SIGSPATIAL '15","","978-1-4503-3967-4","Seattle, Washington","ACM","New York, NY, USA"
"article","2701177","Saima  Hassan and Abbas  Khosravi and Jafreezal  Jaafar","","","","Training of Interval Type-2 Fuzzy Logic System Using Extreme Learning Machine for Load Forecasting","87:1--87:5","87","5","extreme learning machine, interval type-2 fuzzy logic systems, learning algorithm, load forecasting, parameter optimization","10.1145/2701126.2701177","","","","","","","2015","","Proceedings of the 9th International Conference on Ubiquitous Information Management and Communication","IMCOM '15","","978-1-4503-3377-1","Bali, Indonesia","ACM","New York, NY, USA"
"article","3054204","Yukihiro  Tagami","","","","Learning Extreme Multi-label Tree-classifier via Nearest Neighbor Graph Partitioning","845--846","","2","approximate k-nearest neighbor graph, extreme multi-label classification","10.1145/3041021.3054204","","","","","","","2017","","Proceedings of the 26th International Conference on World Wide Web Companion","WWW '17 Companion","","978-1-4503-4914-7","Perth, Australia","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","1632388","Wanyu  Deng and Qinghua  Zheng and Lin  Chen","","","","Real-Time Collaborative Filtering Using Extreme Learning Machine","466--473","","8","collaborative filtering, Extreme Learning Machine","10.1109/WI-IAT.2009.80","","","","","","","2009","","Proceedings of the 2009 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology - Volume 01","WI-IAT '09","","978-0-7695-3801-3","","IEEE Computer Society","Washington, DC, USA"
"article","3080834","Jingzhou  Liu and Wei-Cheng  Chang and Yuexin  Wu and Yiming  Yang","","","","Deep Learning for Extreme Multi-label Text Classification","115--124","","10","convolutional neural network, deep learning, extreme text classification, multi-label","10.1145/3077136.3080834","","","","","","","2017","","Proceedings of the 40th International ACM SIGIR Conference on Research and Development in Information Retrieval","SIGIR '17","","978-1-4503-5022-8","Shinjuku, Tokyo, Japan","ACM","New York, NY, USA"
"article","1299038","Runxuan  Zhang and Guang-Bin  Huang and N.  Sundararajan and P.  Saratchandran","","","","Multicategory Classification Using An Extreme Learning Machine for Microarray Gene Expression Cancer Diagnosis","485--495","","11","Extreme learning machine, gene expression, microarray, multi-category classification, SVM","10.1109/tcbb.2007.1012","IEEE/ACM Trans. Comput. Biol. Bioinformatics","July 2007","4","3","","July","2007","1545-5963","","","","","","IEEE Computer Society Press","Los Alamitos, CA, USA"
"article","2942492","Weina  Wang and Kai  Zhu and Lei  Ying and Jian  Tan and Li  Zhang","","","","MapTask Scheduling in Mapreduce with Data Locality: Throughput and Heavy-traffic Optimality","190--203","","14","MapReduce, heavy-traffic analysis, queueing systems, scheduling, throughput optimality","10.1109/TNET.2014.2362745","IEEE/ACM Trans. Netw.","February 2016","24","1","","February","2016","1063-6692","","","","","","IEEE Press","Piscataway, NJ, USA"
"article","1341433","Xenofontas  Dimitropoulos and Paul  Hurley and Andreas  Kind","","","","Probabilistic Lossy Counting: An Efficient Algorithm for Finding Heavy Hitters","5--5","","1","data streams, heavy hitters","10.1145/1341431.1341433","SIGCOMM Comput. Commun. Rev.","January 2008","38","1","","January","2008","0146-4833","","","","","","ACM","New York, NY, USA"
"article","2666664","Junlong  Xiang and Magnus  Westerlund and Du&#353;an  Sovilj and G&#246;ran  Pulkkis","","","","Using Extreme Learning Machine for Intrusion Detection in a Big Data Environment","73--82","","10","big data, classification, extreme learning machine, intrusion detection, mapreduce","10.1145/2666652.2666664","","","","","","","2014","","Proceedings of the 2014 Workshop on Artificial Intelligent and Security Workshop","AISec '14","","978-1-4503-3153-1","Scottsdale, Arizona, USA","ACM","New York, NY, USA"
"article","3060606","Diana Andreea Popescu and Gianni  Antichi and Andrew W. Moore","","","","Enabling Fast Hierarchical Heavy Hitter Detection Using Programmable Data Planes","191--192","","2","Hierarchical Heavy Hitters, P4, SDN","10.1145/3050220.3060606","","","","","","","2017","","Proceedings of the Symposium on SDN Research","SOSR '17","","978-1-4503-4947-5","Santa Clara, CA, USA","ACM","New York, NY, USA"
"article","3140040","Monidipa  Das and Soumya K. Ghosh","","","","BESTED: An Exponentially Smoothed Spatial Bayesian Analysis Model for Spatio-temporal Prediction of Daily Precipitation","55:1--55:4","55","4","Exponential smoothing, Precipitation, Spatial Bayesian network, Spatio-temporal prediction, Time series","10.1145/3139958.3140040","","","","","","","2017","","Proceedings of the 25th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems","SIGSPATIAL'17","","978-1-4503-5490-5","Redondo Beach, CA, USA","ACM","New York, NY, USA"
"article","3018053","Sivanagaraja  Tatinati and Yubo  Wang and Kalyana C. Veluvolu","","","","Modeling of Physiological Tremor with Quaternion Variant of Extreme Learning Machines","255--258","","4","extreme learning machines, modeling, physiological tremor, quaternion","10.1145/3018009.3018053","","","","","","","2016","","Proceedings of the 2Nd International Conference on Communication and Information Processing","ICCIP '16","","978-1-4503-4819-5","Singapore, Singapore","ACM","New York, NY, USA"
"article","3064945","Anton  Akusok and Emil  Eirola and Kaj-Mikael  Bj&#246;rk and Yoan  Miche and Hans  Johnson and Amaury  Lendasse","","","","Brute-force Missing Data Extreme Learning Machine for Predicting Huntington's Disease","189--192","","4","Extreme learning machine, Huntington's disease, imputation, missing values","10.1145/3056540.3064945","","","","","","","2017","","Proceedings of the 10th International Conference on PErvasive Technologies Related to Assistive Environments","PETRA '17","","978-1-4503-5227-7","Island of Rhodes, Greece","ACM","New York, NY, USA"
"article","1463528","Yong  Liu and David J. Hill and Alejandro  Rodriguez and Luigi  Marini and Rob  Kooper and Joe  Futrelle and Barbara  Minsker and James D. Myers","","","","Near-real-time Precipitation Virtual Sensor Using NEXRAD Data","82:1--82:2","82","2","NEXRAD, digital watershed, ontology, precipitation, spatiotemporal and thematic transformation, virtual sensor, workflow","10.1145/1463434.1463528","","","","","","","2008","","Proceedings of the 16th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems","GIS '08","","978-1-60558-323-5","Irvine, California","ACM","New York, NY, USA"
"article","3126776","Stevan  Rudinac and Iva  Gornishka and Marcel  Worring","","","","Multimodal Classification of Violent Online Political Extremism Content with Graph Convolutional Networks","245--252","","8","entity linking, graph convolutional networks, multimedia classification, semantic concepts, violent online political extremism","10.1145/3126686.3126776","","","","","","","2017","","Proceedings of the on Thematic Workshops of ACM Multimedia 2017","Thematic Workshops '17","","978-1-4503-5416-5","Mountain View, California, USA","ACM","New York, NY, USA"
"article","1559820","Ke  Yi and Qin  Zhang","","","","Optimal Tracking of Distributed Heavy Hitters and Quantiles","167--174","","8","distributed tracking, heavy hitter, quantile","10.1145/1559795.1559820","","","","","","","2009","","Proceedings of the Twenty-eighth ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems","PODS '09","","978-1-60558-553-6","Providence, Rhode Island, USA","ACM","New York, NY, USA"
"article","2369192","Krishna  Jagannathan and Mihalis  Markakis and Eytan  Modiano and John N. Tsitsiklis","","","","Queue-length Asymptotics for Generalized Max-weight Scheduling in the Presence of Heavy-tailed Traffic","1096--1111","","16","heavy-tailed traffic, scheduling, throughput optimality","10.1109/TNET.2011.2173553","IEEE/ACM Trans. Netw.","August 2012","20","4","","August","2012","1063-6692","","","","","","IEEE Press","Piscataway, NJ, USA"
"article","3098832","Ran  Ben Basat and Gil  Einziger and Roy  Friedman and Marcelo C. Luizelli and Erez  Waisbard","","","","Constant Time Updates in Hierarchical Heavy Hitters","127--140","","14","Heavy Hitters, Measurement, Monitoring, Streaming","10.1145/3098822.3098832","","","","","","","2017","","Proceedings of the Conference of the ACM Special Interest Group on Data Communication","SIGCOMM '17","","978-1-4503-4653-5","Los Angeles, CA, USA","ACM","New York, NY, USA"
"article","2897558","Vladimir  Braverman and Stephen R.  Chestnut and Nikita  Ivkin and David P.  Woodruff","","","","Beating CountSketch for Heavy Hitters in Insertion Streams","740--753","","14","Chaining, Data Streams, Heavy Hitters","10.1145/2897518.2897558","","","","","","","2016","","Proceedings of the Forty-eighth Annual ACM Symposium on Theory of Computing","STOC '16","","978-1-4503-4132-5","Cambridge, MA, USA","ACM","New York, NY, USA"
"article","2666273","Heysem  Kaya and Albert Ali  Salah","","","","Combining Modality-Specific Extreme Learning Machines for Emotion Recognition in the Wild","487--493","","7","audio-visual emotion corpus, audio-visual fusion, emotion recognition in the wild, extreme learning machines, feature extraction","10.1145/2663204.2666273","","","","","","","2014","","Proceedings of the 16th International Conference on Multimodal Interaction","ICMI '14","","978-1-4503-2885-2","Istanbul, Turkey","ACM","New York, NY, USA"
"article","2902284","Arnab  Bhattacharyya and Palash  Dey and David P. Woodruff","","","","An Optimal Algorithm for L1-Heavy Hitters in Insertion Streams and Related Problems","385--400","","16","algorithms, data streams, frequent items, heavy hitters","10.1145/2902251.2902284","","","","","","","2016","","Proceedings of the 35th ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems","PODS '16","","978-1-4503-4191-2","San Francisco, California, USA","ACM","New York, NY, USA"
"article","3131377","Kenjiro  Cho","","","","Recursive Lattice Search: Hierarchical Heavy Hitters Revisited","283--289","","7","Z-order, flow aggregation algorithm, hierarchical heavy hitters","10.1145/3131365.3131377","","","","","","","2017","","Proceedings of the 2017 Internet Measurement Conference","IMC '17","","978-1-4503-5118-8","London, United Kingdom","ACM","New York, NY, USA"
"article","1530757","Yung  Yi and Junshan  Zhang and Mung  Chiang","","","","Delay and Effective Throughput of Wireless Scheduling in Heavy Traffic Regimes: Vacation Model for Complexity","55--64","","10","complexity, heavy-traffic, scheduling, wireless networks","10.1145/1530748.1530757","","","","","","","2009","","Proceedings of the Tenth ACM International Symposium on Mobile Ad Hoc Networking and Computing","MobiHoc '09","","978-1-60558-624-3","New Orleans, LA, USA","ACM","New York, NY, USA"
"article","2927977","Da  Tong and Viktor  Prasanna","","","","High Throughput Sketch Based Online Heavy Hitter Detection on FPGA","70--75","","6","Heavy hitter detection, Sketch data structure, Streaming algorithm","10.1145/2927964.2927977","SIGARCH Comput. Archit. News","September 2015","43","4","","April","2016","0163-5964","","","","","","ACM","New York, NY, USA"
"article","640103","Wentian  Li and Ivo  Grosse","","","","Gene Selection Criterion for Discriminant Microarray Data Analysis Based on Extreme Value Distributions","217--223","","7","classification, extreme values, logistic regression, microarray","10.1145/640075.640103","","","","","","","2003","","Proceedings of the Seventh Annual International Conference on Research in Computational Molecular Biology","RECOMB '03","","1-58113-635-8","Berlin, Germany","ACM","New York, NY, USA"
"article","3034798","Vladimir  Braverman and Stephen R. Chestnut and Nikita  Ivkin and Jelani  Nelson and Zhengyu  Wang and David P. Woodruff","","","","BPTree: An &#8467;2 Heavy Hitters Algorithm Using Constant Memory","361--376","","16","bernoulli processes, chaining, data streams, frequent items, heavy hitters","10.1145/3034786.3034798","","","","","","","2017","","Proceedings of the 36th ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems","PODS '17","","978-1-4503-4198-1","Chicago, Illinois, USA","ACM","New York, NY, USA"
"article","2491304","Bin  Li and Ruogu  Li and Atilla  Eryilmaz","","","","Heavy-traffic-optimal Scheduling with Regular Service Guarantees in Wireless Networks","79--88","","10","heavy-traffic analysis, mean delay, service regularity, throughput, wireless scheduling","10.1145/2491288.2491304","","","","","","","2013","","Proceedings of the Fourteenth ACM International Symposium on Mobile Ad Hoc Networking and Computing","MobiHoc '13","","978-1-4503-2193-8","Bangalore, India","ACM","New York, NY, USA"
"article","2746561","Ankur  Moitra","","","","Super-resolution, Extremal Functions and the Condition Number of Vandermonde Matrices","821--830","","10","condition number, extremal functions, super resolution","10.1145/2746539.2746561","","","","","","","2015","","Proceedings of the Forty-seventh Annual ACM Symposium on Theory of Computing","STOC '15","","978-1-4503-3536-2","Portland, Oregon, USA","ACM","New York, NY, USA"
"article","3084449","Lei  Ying","","","","Stein's Method for Mean Field Approximations in Light and Heavy Traffic Regimes","12:1--12:27","12","27","heavy-traffic analysis, mean-field models, perturbation theory, stein's method","10.1145/3084449","Proc. ACM Meas. Anal. Comput. Syst.","June 2017","1","1","","June","2017","2476-1249","","","","","","ACM","New York, NY, USA"
"article","1959383","Patrick  Loiseau and Paulo  Gon&#231;alves and Guillaume  Dewaele and Pierre  Borgnat and Patrice  Abry and Pascale Vicat-Blanc Primet","","","","Investigating Self-similarity and Heavy-tailed Distributions on a Large-scale Experimental Facility","1261--1274","","14","heavy-tailed distributions, large-scale experiments, monitoring, network traffic, self-similarity","10.1109/TNET.2010.2042726","IEEE/ACM Trans. Netw.","August 2010","18","4","","August","2010","1063-6692","","","","","","IEEE Press","Piscataway, NJ, USA"
"article","2797161","Primo&#382;  Poto&#269;nik and Edvard  Govekar","","","","Practical Considerations in Training Extreme Learning Machines","1:1--1:5","1","5","Extreme learning machines, activation functions, feedforward neural networks, function approximation, input range scaling","10.1145/2797143.2797161","","","","","","","2015","","Proceedings of the 16th International Conference on Engineering Applications of Neural Networks (INNS)","EANN '15","","978-1-4503-3580-5","Rhodes, Island, Greece","ACM","New York, NY, USA"
"article","2745878","Rahul  Singh and Alexander  Stolyar","","","","MaxWeight Scheduling: Asymptotic Behavior of Unscaled Queue-Differentials in Heavy Traffic","431--432","","2","dynamic scheduling, heavy traffic asymptotic regime, markov chain, maxweight algorithm, queue length differentials, smooth service process","10.1145/2796314.2745878","SIGMETRICS Perform. Eval. Rev.","June 2015","43","1","","June","2015","0163-5999","","","","","","ACM","New York, NY, USA"
"article","2745878","Rahul  Singh and Alexander  Stolyar","","","","MaxWeight Scheduling: Asymptotic Behavior of Unscaled Queue-Differentials in Heavy Traffic","431--432","","2","dynamic scheduling, heavy traffic asymptotic regime, markov chain, maxweight algorithm, queue length differentials, smooth service process","10.1145/2745844.2745878","","","","","","","2015","","Proceedings of the 2015 ACM SIGMETRICS International Conference on Measurement and Modeling of Computer Systems","SIGMETRICS '15","","978-1-4503-3486-0","Portland, Oregon, USA","ACM","New York, NY, USA"
"article","948939","Sem  Borst and Michel  Mandjes and Miranda  van Uitert","","","","Generalized Processor Sharing with Light-tailed and Heavy-tailed Input","821--834","","14","Generalized processor sharing (GPS), Markov fluid, heavy-tailed traffic, large deviations, light-tailed traffic, regular variation, weighted fair queueing, workload asymptotics","10.1109/TNET.2003.818195","IEEE/ACM Trans. Netw.","October 2003","11","5","","October","2003","1063-6692","","","","","","IEEE Press","Piscataway, NJ, USA"
"article","2834978","Bin  Dong and Surendra  Byna and Kesheng  Wu","","","","Heavy-tailed Distribution of Parallel I/O System Response Time","37--42","","6","heavy-tailed distribution, parallel I/O, performance and benchmarking, peta-scale storage system, response time","10.1145/2834976.2834978","","","","","","","2015","","Proceedings of the 10th Parallel Data Storage Workshop","PDSW '15","","978-1-4503-4008-3","Austin, Texas","ACM","New York, NY, USA"
