type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,abstract
article,2558048,Jaedong  Lee and Sora  Hong and Jee-Hyong  Lee,,,,An Efficient Prediction for Heavy Rain from Big Weather Data Using Genetic Algorithm,25:1--25:7,25,7,"accuracy, big data mining, computational cost, feature selection, genetic algorithm, heavy rain prediction, support vector machine",10.1145/2557977.2558048,,,,,,,2014,,Proceedings of the 8th International Conference on Ubiquitous Information Management and Communication,ICUIMC '14,,978-1-4503-2644-5,"Siem Reap, Cambodia",ACM,"New York, NY, USA","In this paper, an approach is proposed which builds an efficient and effective model for heavy rain forecasting in 6 hours based on the past weather data. Since the weather data has a huge amount of information, in order to build efficient and effective heavy rain prediction models, we need to find proper weather attributes, isobaric surfaces and suitable range for experiments. First, we have the candidate weather attributes with expert knowledge and evaluate those attributes using machine learning approach, Support Vector Machine (SVM). After the evaluation, we find out the best resulted 3 pairs of an attribute and an isobaric surface, and combine those to have better performance in prediction. The combination of high performed weather attributes showed better performance than the combined attributes which was recommended by the experts. We next figure out how the range of area affect in prediction. After the experiments, dimensions of the best resulted data were 4,800, which will be used as the inputs to prediction models. Even though we have dramatically reduced the number of dimension compared to the original weather data, it still is not proper for heavy rain forecasting in 6 hours. The running time of the model to produce an output with 4,800 dimensions of input takes about 2 minutes. However, 2 minute is not short enough since every local place may needs to predict heavy rain with their own local heavy rain cases for more accurate weather forecasting. If there are 30 local places, it would take an hour to produce outputs for all local places. An hour is not feasible to predict heavy rain in 6 hours. Therefore, in order to build more efficient models, we apply Genetic Algorithm (GA) to find a much smaller set of inputs without degrading performance. After running GA, 4,800 inputs are reduced 757 inputs and the running time of the model with 757 inputs is 1/8 of the model with 4,800 inputs. Finally, we compare the performance between the proposed GA and the information gain (IG) based feature selection method and prove our proposed GA selected more efficient features to predict heavy rain cases."
article,3018741,Rohit  Babbar and Bernhard  Sch&#246;lkopf,,,,DiSMEC: Distributed Sparse Machines for Extreme Multi-label Classification,721--729,,9,"extreme classification, large-scale classification, multi-label learning",10.1145/3018661.3018741,,,,,,,2017,,Proceedings of the Tenth ACM International Conference on Web Search and Data Mining,WSDM '17,,978-1-4503-4675-7,"Cambridge, United Kingdom",ACM,"New York, NY, USA","Extreme multi-label classification refers to supervised multi-label learning involving hundreds of thousands or even millions of labels. Datasets in extreme classification exhibit fit to power-law distribution, i.e. a large fraction of labels have very few positive instances in the data distribution. Most state-of-the-art approaches for extreme multi-label classification attempt to capture correlation among labels by embedding the label matrix to a low-dimensional linear sub-space. However, in the presence of power-law distributed extremely large and diverse label spaces, structural assumptions such as low rank can be easily violated. In this work, we present DiSMEC, which is a large-scale distributed framework for learning one-versus-rest linear classifiers coupled with explicit capacity control to control model size. Unlike most state-of-the-art methods, DiSMEC does not make any low rank assumptions on the label matrix. Using double layer of parallelization, DiSMEC can learn classifiers for datasets consisting hundreds of thousands labels within few hours. The explicit capacity control mechanism filters out spurious parameters which keep the model compact in size, without losing prediction accuracy. We conduct extensive empirical evaluation on publicly available real-world datasets consisting upto 670,000 labels. We compare DiSMEC with recent state-of-the-art approaches, including - SLEEC which is a leading approach for learning sparse local embeddings, and FastXML which is a tree-based approach optimizing ranking based loss function. On some of the datasets, DiSMEC can significantly boost prediction accuracies - 10% better compared to SLECC and 15% better compared to FastXML, in absolute terms."
article,3097987,Yukihiro  Tagami,,,,AnnexML: Approximate Nearest Neighbor Search for Extreme Multi-label Classification,455--464,,10,"approximate nearest neighbor search, extreme multi-label classification, k-nearest neighbor graph, learning-to-rank",10.1145/3097983.3097987,,,,,,,2017,,Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,KDD '17,,978-1-4503-4887-4,"Halifax, NS, Canada",ACM,"New York, NY, USA","Extreme multi-label classification methods have been widely used in Web-scale classification tasks such as Web page tagging and product recommendation. In this paper, we present a novel graph embedding method called ""AnnexML"". At the training step, AnnexML constructs a k-nearest neighbor graph of label vectors and attempts to reproduce the graph structure in the embedding space. The prediction is efficiently performed by using an approximate nearest neighbor search method that efficiently explores the learned k-nearest neighbor graph in the embedding space. We conducted evaluations on several large-scale real-world data sets and compared our method with recent state-of-the-art methods. Experimental results show that our AnnexML can significantly improve prediction accuracy, especially on data sets that have larger a label space. In addition, AnnexML improves the trade-off between prediction time and accuracy. At the same level of accuracy, the prediction time of AnnexML was up to 58 times faster than that of SLEEC, which is a state-of-the-art embedding-based method."
article,2623651,Yashoteja  Prabhu and Manik  Varma,,,,"FastXML: A Fast, Accurate and Stable Tree-classifier for Extreme Multi-label Learning",263--272,,10,"extreme classification, multi-label learning, ranking",10.1145/2623330.2623651,,,,,,,2014,,Proceedings of the 20th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,KDD '14,,978-1-4503-2956-9,"New York, New York, USA",ACM,"New York, NY, USA","The objective in extreme multi-label classification is to learn a classifier that can automatically tag a data point with the most relevant subset of labels from a large label set. Extreme multi-label classification is an important research problem since not only does it enable the tackling of applications with many labels but it also allows the reformulation of ranking problems with certain advantages over existing formulations. Our objective, in this paper, is to develop an extreme multi-label classifier that is faster to train and more accurate at prediction than the state-of-the-art Multi-label Random Forest (MLRF) algorithm [2] and the Label Partitioning for Sub-linear Ranking (LPSR) algorithm [35]. MLRF and LPSR learn a hierarchy to deal with the large number of labels but optimize task independent measures, such as the Gini index or clustering error, in order to learn the hierarchy. Our proposed FastXML algorithm achieves significantly higher accuracies by directly optimizing an nDCG based ranking loss function. We also develop an alternating minimization algorithm for efficiently optimizing the proposed formulation. Experiments reveal that FastXML can be trained on problems with more than a million labels on a standard desktop in eight hours using a single core and in an hour using multiple cores."
article,2939756,Himanshu  Jain and Yashoteja  Prabhu and Manik  Varma,,,,"Extreme Multi-label Loss Functions for Recommendation, Tagging, Ranking &#38; Other Missing Label Applications",935--944,,10,"extreme classification, multi-label learning, ranking, recommendation, tagging",10.1145/2939672.2939756,,,,,,,2016,,Proceedings of the 22Nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,KDD '16,,978-1-4503-4232-2,"San Francisco, California, USA",ACM,"New York, NY, USA","The choice of the loss function is critical in extreme multi-label learning where the objective is to annotate each data point with the most relevant subset of labels from an extremely large label set. Unfortunately, existing loss functions, such as the Hamming loss, are unsuitable for learning, model selection, hyperparameter tuning and performance evaluation. This paper addresses the issue by developing propensity scored losses which: (a) prioritize predicting the few relevant labels over the large number of irrelevant ones; (b) do not erroneously treat missing labels as irrelevant but instead provide unbiased estimates of the true loss function even when ground truth labels go missing under arbitrary probabilistic label noise models; and (c) promote the accurate prediction of infrequently occurring, hard to predict, but rewarding tail labels. Another contribution is the development of algorithms which efficiently scale to extremely large datasets with up to 9 million labels, 70 million points and 2 million dimensions and which give significant improvements over the state-of-the-art. This paper's results also apply to tagging, recommendation and ranking which are the motivating applications for extreme multi-label learning. They generalize previous attempts at deriving unbiased losses under the restrictive assumption that labels go missing uniformly at random from the ground truth. Furthermore, they provide a sound theoretical justification for popular label weighting heuristics used to recommend rare items. Finally, they demonstrate that the proposed contributions align with real world applications by achieving superior clickthrough rates on sponsored search advertising in Bing."
article,3098144,Alban  Siffer and Pierre-Alain  Fouque and Alexandre  Termier and Christine  Largouet,,,,Anomaly Detection in Streams with Extreme Value Theory,1067--1075,,9,"extreme value theory, outliers in time series, streaming",10.1145/3097983.3098144,,,,,,,2017,,Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,KDD '17,,978-1-4503-4887-4,"Halifax, NS, Canada",ACM,"New York, NY, USA","Anomaly detection in time series has attracted considerable attention due to its importance in many real-world applications including intrusion detection, energy management and finance. Most approaches for detecting outliers rely on either manually set thresholds or assumptions on the distribution of data according to Chandola, Banerjee and Kumar. Here, we propose a new approach to detect outliers in streaming univariate time series based on Extreme Value Theory that does not require to hand-set thresholds and makes no assumption on the distribution: the main parameter is only the risk, controlling the number of false positives. Our approach can be used for outlier detection, but more generally for automatically setting thresholds, making it useful in wide number of situations. We also experiment our algorithms on various real-world datasets which confirm its soundness and efficiency."
article,3098083,Ian E.H. Yen and Xiangru  Huang and Wei  Dai and Pradeep  Ravikumar and Inderjit  Dhillon and Eric  Xing,,,,PPDsparse: A Parallel Primal-Dual Sparse Method for Extreme Classification,545--553,,9,"extreme classification, primal dual method, sparse optimization",10.1145/3097983.3098083,,,,,,,2017,,Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,KDD '17,,978-1-4503-4887-4,"Halifax, NS, Canada",ACM,"New York, NY, USA","Extreme Classification comprises multi-class or multi-label prediction where there is a large number of classes, and is increasingly relevant to many real-world applications such as text and image tagging. In this setting, standard classification methods, with complexity linear in the number of classes, become intractable, while enforcing structural constraints among classes (such as low-rank or tree-structure) to reduce complexity often sacrifices accuracy for efficiency. The recent PD-Sparse method addresses this via an algorithm that is sub-linear in the number of variables, by exploiting primal-dual sparsity inherent in a specific loss function, namely the max-margin loss. In this work, we extend PD-Sparse to be efficiently parallelized in large-scale distributed settings. By introducing separable loss functions, we can scale out the training, with network communication and space efficiency comparable to those in one-versus-all approaches while maintaining an overall complexity sub-linear in the number of classes. On several large-scale benchmarks our proposed method achieves accuracy competitive to the state-of-the-art while reducing the training time from days to tens of minutes compared with existing parallel or sparse methods on a cluster of 100 cores."
article,2023581,"David John Gagne,II and Amy  McGovern and Ming  Xue",,,,Machine Learning Enhancement of Storm Scale Ensemble Precipitation Forecasts,45--46,,2,"enhancement, forecasts, machine learning, precipitation, storm scale ensemble",10.1145/2023568.2023581,,,,,,,2011,,"Proceedings of the 2011 Workshop on Knowledge Discovery, Modeling and Simulation",KDMS '11,,978-1-4503-0836-6,"San Diego, California, USA",ACM,"New York, NY, USA","Precipitation intensity forecasting is among the most challenging for meteorologists because of two main sources of complexity. First, the formation of precipitation requires the conversion of atmospheric moisture into water that falls to the ground and sometimes requires upward vertical motion. Multiple mechanisms can produce, enhance, or interfere with the precipitation processes, and those mechanisms operate on many scales. Numerical models explicitly represent grid resolvable scales but have to parameterize smaller-scale processes with physical and statistical relationships. Denser grids mean fewer parameterizations, but some processes are too small to resolve feasibly. These model resolution and parameterization limitations result in precipitation prediction errors. Second, the limited number of observations to initialize the models and error in such observations results in initial condition imperfections that grow as the model is run. Numerical model ensembles were developed to quantify the range of possible errors stemming from these sources by perturbing the initial conditions and varying the parameterizations of each model. Sorting the contributions of those error sources requires an archive of previous ensemble forecasts and post-processing to discover patterns and translate them into a calibrated probabilistic forecast. Machine learning techniques provide ways to perform both tasks with varying degrees of skill and understanding. This project compares the ability of multiple machine learning techniques to produce skilled probabilistic precipitation forecasts from a high resolution ensemble of numerical model forecasts and to discover patterns in the ensemble that reveal its strengths and weaknesses as well as where the largest influences in the forecast system lie. The application of machine learning techniques to the problem of ensemble post-processing has so far been very limited in the field of numerical weather prediction (NWP)."
article,2350184,Debasish  Das and Auroop  Ganguly and Arindam  Banerjee and Zoran  Obradovic,,,,Towards Understanding Dominant Processes in Complex Dynamical Systems: Case of Precipitation Extremes,16--24,,9,"dominant processes, graphical models, precipitation extremes, predictive models",10.1145/2350182.2350184,,,,,,,2012,,Proceedings of the Sixth International Workshop on Knowledge Discovery from Sensor Data,SensorKDD '12,,978-1-4503-1554-8,"Beijing, China",ACM,"New York, NY, USA","Complex dynamical systems like precipitation extremes under climate variability or change are typically governed by multiple processes at multiple scales. The processes themselves may be manifested at multiple scales and would need to be captured through key indicator variables, which in turn may be better projected by physical models than the variables of interest. We posit that hybrid approaches based on physically-motivated approaches and data-driven methods, which in turn are conditioned on both observations and simulations from large-scale physics-based models, may offer novel and quantifiable insights. The data-driven approaches may need to extend and adapt methods developed and tested in statistics, data mining and machine learning to the concept of dominant processes. In this paper, we performed some exploratory data analysis to characterize the effect of dominant processes on precipitation extremes, annually and seasonally, and from global and century scale to regional and decadal scale, and found some interesting insights that pointed towards need of improved understanding. We identified the gaps in understanding the regional drivers where data-driven methods can make useful improvements and eventually lead to a predictive model for precipitation extremes. Although we do not propose any specific method for solving the problem, we realize that any successful data mining solution should include all or a subset of tools like dimensionality reduction, grouped variable selection, non-linear regression and graphical models. The concepts of dominant processes proposed here would likely generalize broadly to climate extremes while the solution frameworks themselves may generalize beyond climate."
article,2447492,Kulsawasd  Jitkajornwanich and Ramez  Elmasri and John  McEnery and Chengkai  Li,,,,Extracting Storm-centric Characteristics from Raw Rainfall Data for Storm Analysis and Mining,91--99,,9,"CUAHSI, ODM, precipitation, rainfall, storm analysis",10.1145/2447481.2447492,,,,,,,2012,,Proceedings of the 1st ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data,BigSpatial '12,,978-1-4503-1692-7,"Redondo Beach, California",ACM,"New York, NY, USA","Most rainfall data is stored in formats that are not easy to analyze and mine. In these formats, the amount of data is enormous. In this paper, we propose techniques to summarize the raw rainfall data into a model that facilitates storm analysis and mining, and reduces the data size. The result is to convert raw rainfall data into meaningful storm-centric data, which is then stored in a relational database for easy analysis and mining. The size of the storm data is less than 1% of the size of the raw data. We can determine the spatio-temporal characteristics of a storm, such as how big a storm is, how many sites are covered, and what is its overall depth (precipitation) and duration. We present formal definitions for the storm-related concepts that are needed in our data conversion. Then we describe storm identification algorithms based on these concepts. Our storm identification algorithms analyze precipitation values of adjacent sites within the period of time that covers the whole storm and combines them together to identify the overall storm characteristics."
